id,created_at,name,updated_at,type,color
069243ff-e5d6-4603-99aa-2395555d7bd8,2025-03-05 00:32:09.29684+00,Day 19,,day,
08c9d2ba-e75c-4c28-965b-ee130e3b1596,2025-03-05 00:32:49+00,Life (Abstinence),,program,
0d152aa7-d162-48c9-8a82-b3ef4c0fd2fd,2025-03-05 00:32:09.29684+00,Day 1,,day,
1e1b537e-04a1-40ea-ab3e-c6ab4546dcf7,2025-03-05 00:32:09.29684+00,Day 29,,day,
30b0ec9e-feba-444c-84df-d608ce8f85e4,2025-03-05 00:32:09.29684+00,Day 14,,day,
3bec36ab-b6d5-474d-aee5-4d5f2c3fb1d8,2025-03-05 00:32:09.29684+00,Day 8,,day,
410a9dcf-156c-4f41-a4dc-817fc84c5e2a,2025-03-05 00:32:09.29684+00,Day 6,,day,
423e3697-601e-445b-ad86-dca16f6d5e36,2025-03-11 21:05:16.719448+00,Friends,,general,#5B9CF0
444454ed-7465-496e-9594-87fc389b2bcb,2025-03-05 00:32:09.29684+00,Day 17,,day,
4556c918-aa8b-4025-a4a4-2da810991c29,2025-03-05 00:32:09.29684+00,Day 9,,day,
48292a45-f0ea-4c95-ae65-e678baa54edc,2025-03-05 00:32:09.29684+00,Day 13,,day,
57c4f23a-380a-41f8-8f29-be4d75903ebe,2025-03-05 00:32:09.29684+00,Day 21,,day,
57e1afeb-fa39-41c7-8324-ba31f2ebb586,2025-03-11 21:03:39.362192+00,Symptom,,general,#FF8C59
5cf5d7c0-a239-4052-b24b-391f96e49d08,2025-03-05 00:32:09.29684+00,Day 7,,day,
6716a0b4-95b6-47a7-8c80-2068e15ecbd3,2025-03-05 00:32:09.29684+00,Day 10,,day,
68ce4cb7-910d-4e82-bb93-5b699331576f,2025-03-11 21:02:50.971901+00,Celebration,,general,#DB5079
6c745821-cdae-43c0-8bc8-982e98a538f0,2025-03-05 00:32:09.29684+00,Day 12,,day,
718e9139-6a1b-4e3d-a46e-dd365cccca2d,2025-03-05 00:32:09.29684+00,Day 20,,day,
778e7078-a2f5-4d52-a12b-4615c3c25ca1,2025-03-05 00:33:43.315544+00,Advice,,general,#3a82cf
79ec1a5c-22f0-42b7-b4f3-c6e59a0bbf03,2025-03-05 00:32:09.29684+00,Day 23,,day,
7cfce2d3-6fb9-4872-9b9b-6a871a544648,2025-03-05 00:32:09.29684+00,Day 11,,day,
7d1ba51d-a1f5-4ebd-9570-8818ef2b44a6,2025-03-05 00:32:09.29684+00,Day 4,,day,
84c51206-4a4f-4419-881c-e0d9b45bc7e4,2025-03-05 00:32:09.29684+00,Day 16,,day,
85414591-cae8-4445-8fdd-2f074b99f143,2025-03-05 00:32:09.29684+00,Day 2,,day,
879f15bb-7d3b-416d-b832-8e19ad493dc1,2025-03-05 00:32:09.29684+00,Day 15,,day,
903416e1-41f4-4c0e-b801-712135ccdcef,2025-03-05 00:34:57+00,Discussion,,general,#EF8739
93fd6dc0-e7bf-41f0-83b4-c27b636ad2e3,2025-03-05 00:32:09.29684+00,Day 30,,day,
961cc75c-dd32-4b54-a2b3-7d773b3f3724,2025-03-05 00:37:25+00,Support,,general,#f0d435
9c3d8c67-a897-4ffa-9ffd-2c7c330adc7a,2025-03-05 00:32:09.29684+00,Day 26,,day,
9ee26277-ff23-4b25-bba8-f479aa38face,2025-03-05 00:32:09.29684+00,Day 0,,day,
a5213766-b0fe-47a0-a2e9-f5396d63d568,2025-03-11 21:04:52.757035+00,Sleep,,general,#445A7A
a7507b32-f4b6-46af-aed5-55254a6ce87a,2025-03-05 00:32:09.29684+00,Day 24,,day,
ac0bf0b5-1a70-403c-bd3c-962f810d5f51,2025-03-05 00:32:09.29684+00,Day 18,,day,
ad695c7b-89e2-42e0-9b49-90482191a66f,2025-03-05 00:32:58+00,Life (Moderation),,program,
b1e01784-c3ab-49a7-b221-fec9159b178a,2025-03-05 00:32:09.29684+00,Day 5,,day,
b49690d7-400f-4123-90bb-048feb4b537b,2025-03-05 00:32:09.29684+00,Day 25,,day,
b54a46da-448b-4bc2-9aec-8800269fab17,2025-03-05 00:32:09.29684+00,Day 28,,day,
d0417a1e-60fd-4f11-93d0-2ec3e5e31b05,2025-03-05 00:32:09.29684+00,Day 22,,day,
d769f369-934d-4a4b-8fb7-668cb98c5523,2025-03-05 00:34:41+00,Question,,general,#e82354
e4193d5c-cc95-4702-9cfe-f6df4a3652f7,2025-03-05 00:32:09.29684+00,Day 27,,day,
e71b889f-1d51-4d79-8ba3-469778a26bee,2025-03-05 00:32:09.29684+00,Day 3,,day,
f1c7f55f-47c6-4024-ad8e-ea64196f5e2a,2025-03-11 21:05:05.342212+00,Drug Test,,general,#5B9261
f20007a7-dfea-4c44-b32e-2e8248811aae,2025-03-05 00:32:27+00,Clear30,,program,
f7c405fe-6d3c-455d-8b32-4b9fa693156b,2025-03-17 19:51:39.002395+00,Clear30 Preparation,,program,
fcfa2c64-81cc-48b9-98fa-1a2e8e6a78d9,2025-03-11 21:04:25.869123+00,Boredom,,general,#5A6D7C
